feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
L-Tyrosine [refmet: Tyrosine],Tyrosine,Organic acids,-0.42878617502134786,log2fc,1.4991981675321118e-05,0.00011077408682320605,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
DL-Serine [refmet: Serine],Serine,Organic acids,-0.3221004349648565,log2fc,3.1675367481318986e-05,0.0002217275723692329,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
D-(+)-Xylose [refmet: Xylose],Xylose,Carbohydrates,-0.25839909916388604,log2fc,3.516238214985898e-05,0.00023982547825288433,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
L-Methionine sulfoxide [refmet: Methionine sulfoxide],Methionine sulfoxide,Organic acids,-0.6741400601659036,log2fc,4.5128010304753936e-05,0.00027970614125695807,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Valeryl-carnitine; AIF; CE30; MS2Dec,Valeryl-carnitine; AIF; CE30; MS2Dec,unclassified_no_refmet_match,-0.4508238876433959,log2fc,4.5215654413718785e-05,0.00027970614125695807,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
LPC 17:0-SN1 [refmet: LPC 17:0/0:0],LPC 17:0/0:0,Glycerophospholipids,-0.1542314031455075,log2fc,4.345944132251296e-05,0.00027970614125695807,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
L-Histidine [refmet: Histidine],Histidine,Organic acids,-0.3110398629400382,log2fc,5.181188304690766e-05,0.0003062657975661653,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
D-Carnitine,D-Carnitine,Organic nitrogen compounds,-0.20417804393342145,log2fc,5.784695838073753e-05,0.00033450632454948227,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
N-Benzylformamide,N-benzylformamide,Benzenoids,-0.3878838487511968,log2fc,6.160515450013169e-05,0.0003486589595113836,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
2-Oxindole [refmet: Indolin-2-one],Indolin-2-one,Alkaloids,-0.48590524253635436,log2fc,8.095533436042182e-05,0.0004325564028885193,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
L-(-)-Methionine [refmet: Methionine],Methionine,Organic acids,-0.4124131274254078,log2fc,8.469028306553178e-05,0.0004325564028885193,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
"2,5-dihydroxybenzenesulfonate [refmet: 2,5-Dihydroxybenzenesulfonic acid]","2,5-Dihydroxybenzenesulfonic acid",Benzenoids,-0.38452191317245754,log2fc,8.561438141208166e-05,0.0004325564028885193,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
PC(16:0/0:0) [refmet: LPC 16:0/0:0],LPC 16:0/0:0,Glycerophospholipids,-0.14003555288881356,log2fc,8.61860501995922e-05,0.0004325564028885193,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
BETAINE,Betaine,Organic acids,-0.16211525129320212,log2fc,0.0001187380013859137,0.0005640055065830901,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Glycine,Glycine,Organic acids,-0.28120574876180343,log2fc,0.00013995734433868486,0.0006531342735805293,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
LPC 18:2-SN1 [refmet: LPC 18:2/0:0],LPC 18:2/0:0,Glycerophospholipids,-0.2767790542036983,log2fc,0.00017061095366912435,0.0007824571323446048,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
DL-Homoserine [refmet: Homoserine],Homoserine,Organic acids,-0.27782480276304683,log2fc,0.0001761808313372593,0.0007943067989103556,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
2-HYDROXYOCTANOIC ACID,2-Hydroxyoctanoic acid,Fatty Acyls,-0.3986204155152031,log2fc,0.0001824297159488942,0.0008087717407067644,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
