study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute,license,license_url,revision_comment,revision_datetime,revision_no,study_url,version
ST003066,Heritability of RBC metabolites: baseline correlation of metabolites and markers of RBC health and stability,Homo sapiens,GC-MS/LC-MS,36,2024-02-07,2024-02-28,University of Iowa,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003067,Attenuation of Helicobacter pylori VacA toxin-induced cell death by modulation of intracellular taurine metabolism - Study #1,Homo sapiens,LC-MS,48,2024-02-07,2024-06-12,Vanderbilt University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003068,Attenuation of Helicobacter pylori VacA toxin-induced cell death by modulation of intracellular taurine metabolism _ Study #2,Homo sapiens,LC-MS,20,2024-02-08,2024-06-12,Vanderbilt University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003069,Plasma instead of serum avoids critical confounding of clinical metabolomics studies by platelets (Part 3/3 - Plasma and serum metabolomics),Homo sapiens,LC-MS,72,2024-02-08,2024-04-12,University of Vienna,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003070,Attenuation of Helicobacter pylori VacA toxin-induced cell death by modulation of intracellular taurine metabolism - Study #3,Homo sapiens,LC-MS,40,2024-02-08,2024-06-12,Vanderbilt University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003071,Attenuation of Helicobacter pylori VacA toxin-induced cell death by modulation of intracellular taurine metabolism - Study #4,Homo sapiens,LC-MS,40,2024-02-08,2024-06-12,Vanderbilt University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003072,Investigation of polar metabolites by targeted LC-MS analysis from mouse adult or embryonic CSF and from adult serum.,Mus musculus,LC-MS,36,2024-02-10,2024-02-14,Boston Children's Hospital,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003073,"Investigation of 3,5,3’-L-triiodothyronine (T3) and 3,5,3’5’-L-tetraiodothyronine (T4) by targeted LC-MS analysis from mouse adult or embryonic CSF and from adult serum.",Mus musculus,LC-MS,36,2024-02-10,2024-02-14,Boston Children's Hospital,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003074,"Spectral information for 3,5,3’-L-triiodothyronine (T3) and 3,5,3’5’-L-tetraiodothyronine (T4) from synthetic standards",,LC-MS,2,2024-02-12,2024-02-14,Boston Children's Hospital,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003075,HZV029 Lipidomics,Homo sapiens,LC-MS,140,2024-02-16,2024-05-24,Jackson Laboratory for Genomic Medicine,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003076,Data-dependent and -independent acquisition lipidomics analysis reveals the tissue-dependent effect of metformin on lipid metabolism,Mus musculus,LC-MS,63,2024-02-16,2024-03-01,North Carolina State University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003077,Data-dependent and -independent acquisition lipidomics analysis reveals the tissue-dependent effect of metformin on lipid metabolism (Adipose tissue measurements),Mus musculus,LC-MS,74,2024-02-16,2024-03-01,North Carolina State University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
