metabolite,refmet_name,log2fc,p_value,fdr,sex,neg_log10_p
pc(42:7)_feature1,pc(42:7)_lp_a,-0.50149065,0.008414005,1.0,male,2.07499723424061
pc(38:5)>pc(16:0_22:5)_and_pc(18:1_20:4)_m+h2co2_feature3,pc(38:5)_ln_c,-0.32763338,0.0084286025,1.0,male,2.0742444273742193
cer(d41:2)>cer(d18:2/23:0)_feature2,cer(d18:2/23:0)_lp_b,0.37494826,0.00857213,1.0,male,2.0669112513196
lpe(18:0)_feature2,lpe(18:0)_ln_b,0.299761,0.008724961,1.0,male,2.0592365056321236
leu-pro,leu-pro,-0.38183624,0.008799991,1.0,male,2.0555177720148694
NA,alanine,0.27719265,0.008868282,1.0,female,2.05216050533014
uracil,uracil,-0.3760432,0.009392044,1.0,male,2.027239881501865
lpc(17:1/0:0)_feature2,lpc(17:1/0:0)_lp_b,0.40933442,0.00944212,1.0,female,2.024930484416662
sm(d35:2)_feature1,sm(d35:2),0.38383666,0.009610363,1.0,male,2.017260207969378
NA,car(16:0),-0.32795817,0.009726609,1.0,female,2.012038541979505
homoarginine,homoarginine,0.5545322,0.009766174,1.0,male,2.0102755423325966
c38:6 pe,pe(38:6),-0.34192267,0.009900155,1.0,female,2.0043580058956083
pc(40:6)_feature3,pc(40:6)_lp_c,-0.38812405,0.009952878,1.0,male,2.0020513193759424
pc(34:3)>pc(16:1_18:2)_m+h2co2_feature2,pc(16:1_18:2)_ln_b,0.7173723,0.010000974,1.0,male,1.9999577017773527
sm(d41:2)_feature2and3,sm(d41:2)_lp_bc,0.5561715,0.01012058,1.0,male,1.9947945978142467
imidazoleacetate,imidazoleacetic acid,-0.36161348,0.010141709,1.0,female,1.9938888549898166
pc(40:7)_feature3,pc(40:7)_lp_c,-0.3682669,0.010374927,1.0,male,1.9840149503853843
pc(38:2)_feature1,pc(38:2)_lp_a,0.46355966,0.010428397,1.0,male,1.9817824439759535
tg(50:5)_m+nh3_feature3,tg(50:5)_lp_c,-1.2160447,0.010431409,1.0,male,1.981657026223882
NA,sm(d34:0),-0.2802201,0.010754159,1.0,female,1.9684235467772417
