metabolite,refmet_name,log2fc,p_value,fdr,neg_log10_p
LPC 14:0-SN1,LPC 14:0/0:0,-0.07938767487044984,0.10415705065882752,0.18720118564356839,0.9823113262099387
Creatinine,Creatinine,0.03675008640933722,0.10809812359183212,0.19298054278810298,0.9661818446293525
"1,5-ANHYDRO-GLUCITOL","1,5-Anhydrosorbitol",0.04240417405116235,0.11051353480830518,0.1959773350600612,0.9565845298286884
DL-β-Leucine,beta-Leucine,-0.15071864157046172,0.11336171476932494,0.19969679555391018,0.9455335933426086
2-Methoxyphenol sulfate,Guaiacol sulfate,-0.2409638605721057,0.1182580774539644,0.2069516355444377,0.9271691856947807
Glycylproline,Gly-Pro,-0.2922106376890484,0.12215727034176178,0.211791994967863,0.9130806803455058
(S)-(+)-2-Amino-1-propanol,(S)-(+)-2-Amino-1-propanol,-0.1798322393871913,0.12261641813928911,0.211791994967863,0.9114513745981356
Pentacosanoic acid,Hyenic acid,0.11644049566025409,0.1248714568486007,0.21429553239824375,0.9035368214320826
Gabapentin,Gabapentin,0.0973235950716126,0.1289438973812217,0.21986587630387802,0.8895992072009308
Betonicine; AIF; CE10; CorrDec,Betonicine; AIF; CE10; CorrDec,0.21034291688735232,0.1349293523635609,0.228606418654186,0.86989356416887
Deoxycholic Acid,Deoxycholic acid,-0.30199352584732797,0.13967378370663794,0.23514700294914997,0.8548851018313773
Prolylleucine,Pro-Leu,0.09439428701762939,0.15304588151205759,0.25603902190067496,0.8151783528399442
CMPF,3-Carboxy-4-methyl-5-propyl-2-furanpropanoic acid,0.12117965641587088,0.1577332575009579,0.2622315405953425,0.8020767275566064
Mesaconic acid,Mesaconic acid,-0.09498884766810328,0.16041649991177157,0.2644892255441559,0.7947509636572461
DG 16:0_24:6,DG 16:0_24:6,-0.1920584525318975,0.1610799042787716,0.2644892255441559,0.7929586371426645
N-Acetyl-L-carnosine,N-Acetylcarnosine,0.06304779813156133,0.1755562338038595,0.2864905410541511,0.7555837446175979
trans-Aconitic acid,trans-Aconitic acid,-0.09987082578029989,0.18419740216882372,0.29773865437973224,0.7347164991755472
SM d36:2,SM 36:2;O2,0.03935973644751294,0.1846875111753978,0.29773865437973224,0.7335624711595929
LPE 18:2,LPE 18:2,-0.11956367987223597,0.19332710173011625,0.3097892112060899,0.7137072597490062
HOMOCITRULLINE,Homocitrulline,-0.113265844467961,0.21317506284578694,0.339328959706156,0.671263600311007
Ethylenediaminetetraacetic acid (EDTA),Ethylenediaminetetraacetic acid (EDTA),-0.09100195863100369,0.21431302718283538,0.339328959706156,0.6689514292303839
Piperidine,Piperidine,0.16457736215317864,0.21755161369474235,0.34241851622959446,0.6624376909687227
10-HYDROXYDECANOIC ACID,10-Hydroxydecanoic acid,-0.26361670154023287,0.22131008173947156,0.3462851867217614,0.6549988014180228
"5,5-Dimethylhydantoin","5,5-Dimethylhydantoin",0.03618408484692618,0.23920609970254078,0.37209837731506346,0.6212277501293663
FAHFA 27:2,FAHFA 27:2;O,-0.17455145369073688,0.24320811081186305,0.37511047959793964,0.6140219457558028
SN-GLYCERO-3-PHOSPHOCHOLINE,sn-Glycero-3-phosphocholine,-0.16862857779570256,0.2439628307159532,0.37511047959793964,0.612676336139119
Linoleic Acid,Linoleic acid,-0.04354703819147332,0.2456365377099935,0.37551332776355323,0.6097070327034897
DL-threo-beta-Methylaspartic acid,DL-threo-beta-Methylaspartic acid,-0.15903488325340306,0.2496176407791859,0.3755535203575447,0.6027247257911595
3-Methylpyrazole,3-Methylpyrazole,0.04494545654716868,0.25063221188771473,0.3755535203575447,0.6009631131261138
1-Stearoylglycerol,MG 18:0/0:0/0:0,0.09245453501716988,0.2509875874752687,0.3755535203575447,0.6003477559065821
"(2R)-2,3-Dihydroxypropanoic acid",Glyceric acid,-0.1559770067486259,0.25131025046482314,0.3755535203575447,0.5997897970042413
4-Methoxyphenol sulfate,4-Methoxyphenol sulfate,-0.15723359055893407,0.25389070711070855,0.3772901010695446,0.5953531948505758
Citric acid,Citric acid,0.17403343287112685,0.25751041302864014,0.38054316592010157,0.5892052045667054
D-Alanyl-D-alanine,D-Alanyl-D-Alanine,-0.23285619685289174,0.2592993360796254,0.38106974252585835,0.5861985952141588
Azelaic acid,Azelaic acid,0.27761420234453454,0.2619176817200245,0.38112498853261645,0.581835181932808
DL-Glutamine,Glutamine,0.03692912802464071,0.26220252970477,0.38112498853261645,0.5813631225943607
Urea,Urea,0.032026380630891686,0.28044733112968906,0.4054292939157461,0.5521486885878362
Oleamide,Oleamide,-0.055519831622202906,0.29255244975232253,0.42064298180604215,0.5337962608776136
Pseudouridine,Pseudouridine,0.05892909857473271,0.2999100204054847,0.428903577569134,0.5230090236232414
S-Methyl-L-cysteine-S-oxide,S-Methylcysteine S-oxide,-0.11721921805082795,0.31164636015740615,0.44330444813834247,0.5063379410414665
FA 23:0,Tricosylic acid,-0.045169227721984465,0.3218548851959706,0.4553904226708946,0.4923398946519864
P-TOLUENESULFONIC ACID,Toluene-4-sulfonic acid,-0.3369909515909987,0.3332443498596623,0.4672265253258223,0.47723720529166586
MGH3_methylglyoxal-derived hydroimidazolone 3,MGH3_methylglyoxal-derived hydroimidazolone 3,-0.14157750967945779,0.33408383806906006,0.4672265253258223,0.476144533662081
Trifluoroacetic acid,Trifluoroacetic acid,0.044169227587275935,0.3366477268573591,0.4672265253258223,0.4728243136678566
CHOLIC ACID,Cholic acid,-0.27567321148189805,0.3375600566558584,0.4672265253258223,0.4716489488954672
β-Muricholic acid,beta-Muricholic acid,-0.3502659407002317,0.3390027044657282,0.4672265253258223,0.4697968371070736
lenticin,Lenticin,0.06703394231938581,0.3446155790987001,0.472514144537393,0.46266509321514593
Acetyl-β-methylcholine,Methacholine,0.02557218557440272,0.347672348298162,0.4742607417810826,0.45882984903221685
Ornithine,Ornithine,-0.1292855098438032,0.35621651819333755,0.4834367032623867,0.44828594564232344
L-Carnitine,Carnitine,0.061550016981305224,0.38163927201137926,0.5153098799747557,0.41834694125236627
Laurolactam,Azacyclotridecan-2-one,0.2652845338972304,0.38565174976001104,0.5180978052331462,0.4138046938375828
Biliverdin,Biliverdin,-0.08439846570108238,0.4189247450577349,0.5599697597254145,0.3778639859633665
"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)","2,2'-Methylenebis(6-tert-butyl-p-cresol)",-0.09988742871943064,0.4211657440771092,0.5601504396225553,0.3755469598115549
N-α-L-Acetyl-arginine,N-α-L-Acetyl-arginine,-0.03399794869356978,0.4244820803104343,0.561752404788933,0.3721406389572785
5-Aminolevulinic acid,5-Amino-levulinic acid,0.14127467356923126,0.42739376403230944,0.5628056496663085,0.3691718187796116
HOMOARGININE,Homoarginine,0.03371882678331959,0.44777487062862936,0.5867394856513074,0.348940282917666
FA 16:2,Hexadecadienoic acid,-0.04830477514495351,0.45078579649683986,0.5877893228831343,0.3460297762998989
