metabolite,refmet_name,log2fc,p_value,fdr,platform,neg_log10_p
SM 18:1;O2/18:1 [metab-u-hilicpos],SM 18:1;O2/18:1,0.181492142544833,1.1062216641338701e-15,1.48914454787252e-14,metab-u-hilicpos,14.956157840604092
Tryptophan [metab-u-ionpneg],Tryptophan,-0.391157261159655,1.1842559159730301e-15,7.2239610874355e-14,metab-u-ionpneg,14.926554437068214
Tryptophan [metab-u-rppos],Tryptophan,-0.258720174378364,1.62267713760602e-15,6.101266037398641e-14,metab-u-rppos,14.789767882702817
4-Hydroxy-3-methylacetophenone [metab-u-hilicpos],4-Hydroxy-3-methylacetophenone,0.540449510613634,1.73710988519891e-15,2.25180911044303e-14,metab-u-hilicpos,14.760172708308172
TG(44:3) [metab-u-lrppos],TG(44:3),-0.817910739011314,2.3309854358176903e-15,5.03975126985411e-14,metab-u-lrppos,14.632460439977395
SM 18:1;O2/19:1 [metab-u-hilicpos],SM 18:1;O2/19:1,0.205621448819038,3.9547754654392606e-15,4.7794166476809e-14,metab-u-hilicpos,14.402878168775377
Hippuric acid [metab-u-hilicpos],Hippuric acid,-0.891037914589612,3.96008807950703e-15,4.7794166476809e-14,metab-u-hilicpos,14.402295154473865
Car(4:0) [metab-u-lrppos],Car(4:0),-0.325605101457317,4.1716159385641506e-15,8.71867731159908e-14,metab-u-lrppos,14.379695681894626
Car(14:0-OH) [metab-u-lrppos],Car(14:0-OH),0.380528886351382,4.466033787884541e-15,9.03291350001164e-14,metab-u-lrppos,14.350077995586949
gamma-Glutamyltyrosine [metab-u-rppos],gamma-Glutamyltyrosine,-0.406829293984595,4.7487747896384e-15,1.4879494340867e-13,metab-u-rppos,14.323418426319547
Car(14:1-OH) [metab-u-lrppos],Car(14:1-OH),0.60657464812013,6.2092902363537606e-15,1.21663280568556e-13,metab-u-lrppos,14.206958039767327
Threonine [metab-u-ionpneg],Threonine,-0.201128704767079,6.3581657844452e-15,1.93924056425579e-13,metab-u-ionpneg,14.196668152367916
Car(16:3) [metab-u-lrppos],Car(16:3),0.467304350136942,6.50152263066987e-15,1.23528929982728e-13,metab-u-lrppos,14.18698492140969
